id;number_of_ended_quests;psum;counts;overall;slength;last_time;traffic;acc_lifetime
20410721325445518;253;265954;46;182.91666666666666;205;477.6775;fbadsN;1458.2163888888888
200006108967264;250;114656;20;182.04861111111111;255;11.616388888888888;Viral traffic;1397.7816666666668
20303945154454372;248;45545;15;799.4011111111112;495;14.052222222222222;fbadsN;1567.4980555555555
3686672956;207;16508;6;316.19944444444445;436;9.2525;Organic traffic;1347.0319444444444
200005243182034;195;16426;9;884.2911111111111;226;9.251388888888888;Organic traffic;1540.963611111111
1251308368410698;195;126711;67;137.46694444444444;279;11.534166666666666;fbads1;1522.548611111111
200001355558790;194;124923;33;121.20166666666667;180;10.116666666666667;fbads1;1694.8819444444443
2104376022948708;171;80981;19;235.10861111111112;734;19.91861111111111;fbadsN;1373.1988888888889
1608737870;138;102986;14;50.000277777777775;47;100.48527777777778;fbads1;1662.6658333333332
1630137243728278;138;152499;34;188.75194444444443;303;17.094444444444445;Organic traffic;1576.7488888888888
603118306739154;137;35293;8;201.8875;43;1065.0519444444444;Organic traffic;1652.016111111111
20407995443944756;137;133980;20;76.10083333333333;65;294.5444444444444;fbads1;1447.8983333333333
20404970866194152;135;108133;35;143.36083333333335;175;246.73833333333334;Viral traffic;1406.0491666666667
20305255552261368;121;56530;21;28.855833333333333;74;309.12055555555554;Viral traffic;1542.966111111111
20400186619623406;119;80968;32;180.11527777777778;339;195.22916666666666;Organic traffic;1413.1988888888889
20405592825369656;116;43561;34;203.55583333333334;220;28.236944444444443;Viral traffic;1680.0994444444445
2801545707126408;116;0;0;438.4794444444444;260;16.06111111111111;Viral traffic;1645.7997222222223
2029635583761618;116;144985;15;82.05444444444444;82;435.81666666666666;fbadsN;1393.963888888889
1273256172885156;114;100849;51;66.63805555555555;110;9.394166666666667;Organic traffic;1615.298611111111
1353240084921946;111;51372;28;72.07416666666667;48;387.1747222222222;fbads1;1415.881388888889
3065426873983670;110;45366;35;23.064166666666665;43;507.7911111111111;fbadsN;1461.8491666666666
1816251605064342;110;63744;56;76.46333333333334;106;80.29138888888889;fbadsN;1377.6155555555556
1513616902145706;106;0;0;15.168888888888889;328;26.149166666666666;Viral traffic;1661.7325
20408119087822178;106;21988;12;148.95;465;13.084444444444445;fbadsN;1389.4988888888888
1504778969691126;105;47334;16;123.62055555555555;175;88.6175;fbads1;1554.2325
1635766796481424;104;12997;3;333.92555555555555;921;9.251388888888888;Organic traffic;1661.9658333333334
20407118583756912;104;21581;19;501.83666666666664;450;12.298333333333334;fbadsN;1661.9327777777778
1454660854577856;104;13785;21;127.04694444444445;1208;9.526111111111112;Viral traffic;1517.2980555555555
20400469436375116;104;41191;39;107.06972222222223;217;24.143055555555556;fbads1;1462.1325
1353634138041140;104;81437;63;114.60027777777778;213;22.471666666666668;fbads1;1423.216111111111
20410268744064182;104;70139;61;161.54333333333332;137;17.263333333333332;fbads1;1420.766111111111
1475609925815538;104;31665;26;85.18611111111112;115;18.628055555555555;fbadsN;1386.1825
1471312899576732;103;0;0;268.7602777777778;696;9.837777777777777;Organic traffic;1671.2327777777778
20405692815631578;103;1656;1;486.46305555555557;790;11.410555555555556;fbads1;1633.9983333333332
1201946306610338;103;34194;20;214.61055555555555;144;20.234444444444446;fbadsN;1622.7827777777777
20410770204564520;103;66863;41;392.5027777777778;121;481.26166666666666;fbadsN;1577.1825
20305242058050992;103;18993;7;172.8036111111111;85;310.3263888888889;fbads1;1483.6322222222223
20307973712310714;103;14998;2;16.04722222222222;23;422.6666666666667;fbadsN;1432.7322222222222
200002475784692;103;0;0;606.21;224;9.25361111111111;fbadsN;1359.8830555555555
20308028656080966;102;66997;64;73.57277777777777;52;363.17944444444447;fbads1;1382.7158333333334
20404216385890248;101;42751;21;326.12694444444446;410;9.251111111111111;fbads1;1694.516111111111
2037735596;101;39971;29;662.9283333333333;177;9.256388888888889;Viral_traffic;1661.8655555555556
20406687876697746;101;18372;25;91.11277777777778;107;80.60444444444444;fbads1;1615.0997222222222
20407930147807054;101;19278;22;82.8425;129;195.84194444444444;fbadsN;1375.9652777777778
20401570345181304;100;8495;6;131.20194444444445;702;19.399444444444445;Viral traffic;1691.5652777777777
1616230938560674;100;0;0;17.011944444444445;315;34.105555555555554;Viral traffic;1661.515
8368335238036;100;19572;6;36.481944444444444;51;923.7816666666666;fbadsN;1388.5494444444444
20400574046349374;99;26227;37;145.96277777777777;223;446.6488888888889;Organic traffic;1695.4980555555555
1123849007843236;99;0;0;721.2719444444444;479;10.324722222222222;Organic traffic;1689.648888888889
1614029998657024;99;0;0;140.69055555555556;606;27.879722222222224;fbads1;1683.3827777777778
648827788701052;99;34429;61;463.1952777777778;255;16.350277777777777;fbads1;1672.598888888889
20304283382807762;99;2905;4;329.08166666666665;486;9.255;Viral traffic;1645.6658333333332
1911009248925920;99;15992;8;41.42;102;437.5188888888889;fbads1;1637.6325
20305596597687862;99;7085;6;104.55777777777777;212;74.77888888888889;Organic traffic;1636.2330555555557
1132627956;99;45767;76;79.20972222222223;120;69.49722222222222;Viral traffic;1629.6988888888889
1837536529628554;99;18483;17;114.27944444444445;258;22.9525;fbads;1626.7325
3056492750;99;30432;68;230.54888888888888;124;11.988055555555556;Viral_traffic;1623.1494444444445
200000495661212;99;18079;21;166.3072222222222;587;11.081944444444444;Viral traffic;1622.7325
20406066328209702;99;2999;1;558.0938888888888;1435;9.254166666666666;Organic traffic;1617.3158333333333
2751736732129378;99;0;0;39.7;470;19.325833333333332;Viral traffic;1616.8491666666666
2108047628;99;0;0;119.34361111111112;763;9.588888888888889;Viral traffic;1595.0822222222223
20411556701917058;99;7687;3;181.91583333333332;416;10.463333333333333;fbadsN;1592.515
200005781260118;99;10000;2;375.5463888888889;1220;9.255555555555556;Organic traffic;1584.098888888889
20410260300614888;99;52670;30;705.3738888888889;298;9.251388888888888;Viral traffic;1581.5652777777777
2803923033564576;99;0;0;62.10111111111111;463;21.740833333333335;Organic traffic;1544.8494444444445
1584956314897492;99;0;0;396.6383333333333;660;11.324444444444444;Organic traffic;1518.465
1849345068419906;99;23804;21;549.62;693;11.470555555555556;Viral traffic;1499.7319444444445
901903050105942;99;26354;46;40.64138888888889;30;696.1402777777778;Viral traffic;1483.466111111111
1642368269142978;99;999;1;371.1411111111111;990;16.560277777777777;Viral traffic;1483.2497222222223
20412318638641274;99;126295;105;96.38083333333333;51;25.933333333333334;fbads1;1466.4641666666666
20306455348089500;99;0;0;413.67027777777776;542;10.83361111111111;fbads;1461.7327777777778
20405554824697748;99;0;0;83.84305555555555;449;26.50111111111111;fbadsN;1443.0813888888888
435747416843678;99;1154;3;332.8619444444444;368;9.25361111111111;Organic traffic;1429.2152777777778
1721552921219608;99;40554;41;314.0491666666667;435;9.783055555555556;fbadsN;1426.2494444444444
2853853381865946;99;83163;37;133.80027777777778;157;29.296388888888888;fbadsN;1419.0644444444445
2112025315498878;99;0;0;339.1697222222222;266;9.306111111111111;fbadsN;1412.2163888888888
1962452383775556;99;38570;30;116.4563888888889;180;27.51222222222222;fbadsN;1393.8483333333334
20412488846194964;99;12767;4;37.17527777777778;54;66.05305555555556;fbadsN;1379.9158333333332
2059997220693818;99;35274;26;170.0011111111111;231;13.2675;Viral traffic;1379.2830555555556
20411775240667392;99;18269;31;26.28638888888889;25;322.9894444444444;fbadsN;1374.5144444444445
1814982458625388;99;22006;36;59.97944444444445;102;35.026944444444446;fbadsN;1373.216111111111
20412314742958596;99;25991;9;121.99194444444444;183;45.24444444444445;fbadsN;1371.798888888889
1554334904746446;99;8935;10;581.1591666666667;208;9.2575;Viral traffic;1352.066388888889
20306435127876026;99;29078;22;88.68194444444444;141;19.77611111111111;fbadsN;1344.6152777777777
200013948642352;98;0;0;443.3;1151;9.261944444444444;Organic traffic;1685.6483333333333
